 Reporte de 30 dias 
Estado final de equipos:
PC-085   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-086   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-087   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-088   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-089   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-090   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-091   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-092   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-093   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-094   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-095   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-096   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-097   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-098   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-099   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
PC-100   | Estado: 15   | Prioridad: 13.8   | Incidencias Activas: 16   | Modelo antes de simulacion: Computadora de Laboratorio   | Criticidad: 6
MIC-007   | Estado: 0   | Prioridad: 13.4   | Incidencias Activas: 14   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-008   | Estado: 0   | Prioridad: 13.4   | Incidencias Activas: 14   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-009   | Estado: 0   | Prioridad: 12.9   | Incidencias Activas: 13   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-010   | Estado: 0   | Prioridad: 12.9   | Incidencias Activas: 13   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-011   | Estado: 0   | Prioridad: 12.4   | Incidencias Activas: 12   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-012   | Estado: 0   | Prioridad: 12.4   | Incidencias Activas: 12   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-013   | Estado: 0   | Prioridad: 11.9   | Incidencias Activas: 11   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-014   | Estado: 0   | Prioridad: 11.9   | Incidencias Activas: 11   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-015   | Estado: 0   | Prioridad: 11.4   | Incidencias Activas: 10   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-016   | Estado: 0   | Prioridad: 11.4   | Incidencias Activas: 10   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-017   | Estado: 0   | Prioridad: 10.9   | Incidencias Activas: 9   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
MIC-018   | Estado: 0   | Prioridad: 10.9   | Incidencias Activas: 9   | Modelo antes de simulacion: Microscopio de Laboratorio   | Criticidad: 8
